문제,힌트,답
코로나19 팬데믹 동안 가장 많이 사용된 화상 회의 플랫폼은?,많은 회사들이 재택근무에 사용한 플랫폼입니다.,줌
최근 전기차 배터리 제조업체로 가장 성장하고 있는 한국 기업은?,삼성의 경쟁사로도 유명합니다.,LG에너지솔루션
세계 최대 커피 체인점으로 알려진 회사는?,미국에서 시작된 커피 브랜드입니다.,스타벅스
세계 인구가 80억 명에 도달한 해는?,2022년에 기록되었습니다.,2022년
미국과 중국의 경제 분쟁에서 중요한 무역 협정의 이름은?,2020년에 체결된 무역 협정입니다.,1단계 무역 협정
전 세계적으로 사용되고 있는 암호화폐 중 가장 잘 알려진 것은?,2009년에 출시된 디지털 화폐입니다.,비트코인
대한민국에서 최근 시행된 주 52시간 근무제의 주요 목적은?,직장인들의 삶의 질 개선과 관련이 있습니다.,근로시간 단축
국제 우주 정거장에서 연구 활동을 수행하고 있는 주요 우주국가는?,미국과 러시아가 포함됩니다.,NASA와 로스코스모스
미국 연방 준비 제도에서 발표하는 주요 금리 결정회의의 이름은?,연방 공개 시장 위원회입니다.,FOMC
유엔에서 지속 가능한 개발 목표(SDGs)의 주요 초점은?,"빈곤 퇴치, 평등, 환경 등이 포함됩니다.",지속 가능한 발전
2023년에 전 세계적으로 발생한 대규모 산불의 주요 원인 중 하나는?,온난화와 관련된 자연현상입니다.,기후 변화
북한과 미국의 정상회담이 개최된 장소로 유명한 도시는?,베트남의 수도입니다.,하노이
세계 경제 포럼(WEF)이 매년 개최되는 스위스의 도시는?,알프스 산맥 인근의 작은 도시입니다.,다보스
최근 전 세계적인 '메타버스' 트렌드와 관련된 기술은?,가상 현실과 증강 현실을 포함합니다.,VR/AR
대한민국에서 고위 공직자의 재산 공개를 규정하는 법률은?,투명성과 관련된 법입니다.,공직자윤리법
최근 아마존 열대우림의 파괴를 막기 위한 주요 국가의 이름은?,남미에 위치한 국가입니다.,브라질
세계 최초로 우주 관광을 제공한 민간 회사는?,리처드 브랜슨이 설립한 기업입니다.,버진 갤럭틱
대한민국의 전자 결제 서비스로 가장 많이 사용되는 것은?,카카오톡과 관련된 서비스입니다.,카카오페이
최근 한국의 주요 방송사가 스트리밍 서비스로 진출한 플랫폼 이름은?,TV 프로그램과 드라마 스트리밍을 제공하는 플랫폼입니다.,웨이브
아프가니스탄을 점령한 무장 단체의 이름은?,중동 지역에서 활동 중입니다.,탈레반
대한민국의 코로나19 방역 정책을 총괄하는 중앙 정부 조직은?,질병관리와 관련된 기관입니다.,질병관리청
전 세계적으로 발생한 '칩 대란'의 주요 원인은?,주로 반도체의 부족 문제입니다.,반도체 공급 부족
국제 기후 변화 대응 협약에서 가장 중요한 온실가스 감축 목표는?,산업화 이전 수준과의 온도 상승 제한입니다.,1.5도 이하 유지
대한민국에서 대선 후보 토론회가 방송된 해는?,2022년에 열렸습니다.,2022년
미국과 중국 간의 '패권 경쟁'에서 주요 화두가 되는 바다는?,중국의 해상 영유권 분쟁 지역입니다.,남중국해
