문제,힌트,답
르네상스 시대의 대표적인 화가는 누구인가요?,모나리자를 그린 화가입니다.,레오나르도 다 빈치
영국에서 여왕 엘리자베스 2세의 즉위 후 가장 오래된 통치는 무엇인가요?,그녀는 영국 역사상 가장 오래 즉위한 군주입니다.,70년
고대 이집트에서 왕을 부르는 칭호는?,파라오라고 불립니다.,파라오
이탈리아의 도시 국가들 중 르네상스가 가장 번성했던 도시는?,메디치 가문으로 유명합니다.,피렌체
대한민국의 첫 번째 대통령은 누구인가요?,1948년에 대한민국의 초대 대통령이 되었습니다.,이승만
러시아 혁명을 통해 세워진 새로운 체제는?,공산주의 체제를 기반으로 합니다.,소비에트
중세 유럽에서 로마 가톨릭 교회의 대분열을 일컫는 말은?,교황이 두 명이었던 시기를 말합니다.,대분열
한국의 삼국 중 가장 먼저 통일을 이룬 나라는?,문무왕 시절에 통일을 이루었습니다.,신라
아프리카 식민지 경쟁에서 영국과 프랑스가 맞붙었던 사건은?,아프리카 수단에서의 충돌입니다.,파쇼다 사건
"프랑스의 대문호로, '레 미제라블'을 쓴 작가는 누구인가요?",그는 빅토르 위고입니다.,빅토르 위고
제2차 세계대전 중 독일군이 영국을 폭격한 작전은?,런던 대공습으로도 불립니다.,독수리 작전
오스만 제국의 수도는 어디였나요?,현재의 터키 이스탄불입니다.,콘스탄티노플
